path,tone,pickup,tone_pickup,string,fret,midi_pitch
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-0.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,0,64
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-1.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,1,65
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-10.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,10,74
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-11.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,11,75
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-12.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,12,76
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-13.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,13,77
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-14.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,14,78
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-15.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,15,79
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-16.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,16,80
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-17.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,17,81
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-18.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,18,82
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-19.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,19,83
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-2.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,2,66
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-20.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,20,84
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-21.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,21,85
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-22.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,22,86
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-3.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,3,67
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-4.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,4,68
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-5.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,5,69
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-6.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,6,70
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-7.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,7,71
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-8.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,8,72
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/1-9.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,9,73
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-0.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,0,59
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-1.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,1,60
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-10.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,10,69
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-11.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,11,70
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-12.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,12,71
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-13.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,13,72
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-14.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,14,73
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-15.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,15,74
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-16.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,16,75
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-17.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,17,76
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-18.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,18,77
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-19.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,19,78
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-2.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,2,61
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-20.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,20,79
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-21.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,21,80
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-22.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,22,81
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-3.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,3,62
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-4.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,4,63
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-5.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,5,64
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-6.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,6,65
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-7.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,7,66
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-8.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,8,67
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/2-9.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,9,68
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-0.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,0,55
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-1.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,1,56
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-10.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,10,65
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-11.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,11,66
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-12.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,12,67
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-13.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,13,68
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-14.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,14,69
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-15.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,15,70
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-16.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,16,71
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-17.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,17,72
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-18.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,18,73
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-19.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,19,74
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-2.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,2,57
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-20.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,20,75
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-21.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,21,76
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-22.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,22,77
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-3.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,3,58
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-4.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,4,59
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-5.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,5,60
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-6.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,6,61
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-7.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,7,62
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-8.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,8,63
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/3-9.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,9,64
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-0.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,0,50
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-1.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,1,51
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-10.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,10,60
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-11.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,11,61
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-12.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,12,62
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-13.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,13,63
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-14.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,14,64
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-15.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,15,65
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-16.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,16,66
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-17.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,17,67
/Users/dtenreiro/Documents/TFM/EGFxSet/BluesDriver/Bridge/4-18.wav,BluesDriver,Bridge,BluesDriver__Bridge,4,18,68
