path,tone,pickup,tone_pickup,string,fret,midi_pitch
../EGFxSet/BluesDriver/Bridge/1-0.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,0,64
../EGFxSet/BluesDriver/Bridge/1-1.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,1,65
../EGFxSet/BluesDriver/Bridge/1-10.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,10,74
../EGFxSet/BluesDriver/Bridge/1-11.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,11,75
../EGFxSet/BluesDriver/Bridge/1-12.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,12,76
../EGFxSet/BluesDriver/Bridge/1-13.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,13,77
../EGFxSet/BluesDriver/Bridge/1-14.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,14,78
../EGFxSet/BluesDriver/Bridge/1-15.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,15,79
../EGFxSet/BluesDriver/Bridge/1-16.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,16,80
../EGFxSet/BluesDriver/Bridge/1-17.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,17,81
../EGFxSet/BluesDriver/Bridge/1-18.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,18,82
../EGFxSet/BluesDriver/Bridge/1-19.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,19,83
../EGFxSet/BluesDriver/Bridge/1-2.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,2,66
../EGFxSet/BluesDriver/Bridge/1-20.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,20,84
../EGFxSet/BluesDriver/Bridge/1-21.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,21,85
../EGFxSet/BluesDriver/Bridge/1-22.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,22,86
../EGFxSet/BluesDriver/Bridge/1-3.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,3,67
../EGFxSet/BluesDriver/Bridge/1-4.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,4,68
../EGFxSet/BluesDriver/Bridge/1-5.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,5,69
../EGFxSet/BluesDriver/Bridge/1-6.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,6,70
../EGFxSet/BluesDriver/Bridge/1-7.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,7,71
../EGFxSet/BluesDriver/Bridge/1-8.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,8,72
../EGFxSet/BluesDriver/Bridge/1-9.wav,BluesDriver,Bridge,BluesDriver__Bridge,1,9,73
../EGFxSet/BluesDriver/Bridge/2-0.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,0,59
../EGFxSet/BluesDriver/Bridge/2-1.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,1,60
../EGFxSet/BluesDriver/Bridge/2-10.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,10,69
../EGFxSet/BluesDriver/Bridge/2-11.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,11,70
../EGFxSet/BluesDriver/Bridge/2-12.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,12,71
../EGFxSet/BluesDriver/Bridge/2-13.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,13,72
../EGFxSet/BluesDriver/Bridge/2-14.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,14,73
../EGFxSet/BluesDriver/Bridge/2-15.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,15,74
../EGFxSet/BluesDriver/Bridge/2-16.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,16,75
../EGFxSet/BluesDriver/Bridge/2-17.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,17,76
../EGFxSet/BluesDriver/Bridge/2-18.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,18,77
../EGFxSet/BluesDriver/Bridge/2-19.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,19,78
../EGFxSet/BluesDriver/Bridge/2-2.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,2,61
../EGFxSet/BluesDriver/Bridge/2-20.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,20,79
../EGFxSet/BluesDriver/Bridge/2-21.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,21,80
../EGFxSet/BluesDriver/Bridge/2-22.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,22,81
../EGFxSet/BluesDriver/Bridge/2-3.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,3,62
../EGFxSet/BluesDriver/Bridge/2-4.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,4,63
../EGFxSet/BluesDriver/Bridge/2-5.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,5,64
../EGFxSet/BluesDriver/Bridge/2-6.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,6,65
../EGFxSet/BluesDriver/Bridge/2-7.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,7,66
../EGFxSet/BluesDriver/Bridge/2-8.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,8,67
../EGFxSet/BluesDriver/Bridge/2-9.wav,BluesDriver,Bridge,BluesDriver__Bridge,2,9,68
../EGFxSet/BluesDriver/Bridge/3-0.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,0,55
../EGFxSet/BluesDriver/Bridge/3-1.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,1,56
../EGFxSet/BluesDriver/Bridge/3-10.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,10,65
../EGFxSet/BluesDriver/Bridge/3-11.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,11,66
../EGFxSet/BluesDriver/Bridge/3-12.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,12,67
../EGFxSet/BluesDriver/Bridge/3-13.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,13,68
../EGFxSet/BluesDriver/Bridge/3-14.wav,BluesDriver,Bridge,BluesDriver__Bridge,3,14,69
